time,tip_u_z,elbow_u_z
4.548349,4.520472624894868,3.687662812007617
4.582249,4.590542671736098,3.635494728156234
4.631662,4.694270569527712,3.560728213062783
4.696264,4.831259438726578,3.468467700305149
4.792284,5.036228363456342,3.341003442550353
4.940062,5.349639064823856,3.169386678406483
5.145556,5.759638141985295,2.975469216823027
5.200620,5.861057454835501,2.931521736495521
5.250854,5.950699452958502,2.893960452478924
5.311739,6.054795475544482,2.851617565429205
5.415983,6.220717030589982,2.786463842382572
5.596708,6.471189785503885,2.692535804399129
5.846708,6.754245574462779,2.591950055647002
6.096708,6.997111807978784,2.51879859049988
6.280741,7.175598772115724,2.484659661941203
6.452001,7.355798296198627,2.469075622595884
6.634152,7.567824826226556,2.465630437036354
6.850646,7.833092861755706,2.46692700450633
7.100646,8.098602004492561,2.451062476937095
7.194986,8.164713613787812,2.433544779747587
7.283308,8.213452987109324,2.40770989467694
7.388621,8.242424002456568,2.361762297343898
7.534979,8.237230875810759,2.262868504740664
7.761866,8.139541520584356,2.018500449591666
8.011866,7.955975879545349,1.622385417091653
8.261866,7.736740838245729,1.119959832019266
8.343786,7.657779012149248,0.9383558535958675
8.418646,7.581201265880003,0.7670311851370782
8.512881,7.478362459988786,0.5447413451270028
8.656159,7.302223073821633,0.1966451026466337
8.851942,7.017012397225428,-0.2941235559023926
8.927354,6.891478699064392,-0.4862642500799618
8.996431,6.771419238513245,-0.6641846189594995
9.087077,6.604231785093676,-0.8996676241557245
9.229208,6.323002012778903,-1.270589273275885
9.415871,5.920696081379795,-1.753826992307954
9.481600,5.771182523837895,-1.919704519459597
9.541077,5.632153583412162,-2.068341101504526
9.619213,5.444927981186913,-2.25902232363277
9.736399,5.155918236749776,-2.534019128911743
9.887014,4.770281435814785,-2.864641594424141
10.069017,4.285786109174658,-3.224485977272356
10.247280,3.78901721851216,-3.527831604678004
10.408995,3.314316365403873,-3.753199676748603
10.562123,2.838235411819763,-3.915296592112288
10.721899,2.309044040839002,-4.022309438613596
10.888211,1.718766300833112,-4.055695753847598
10.913252,1.623094459356496,-4.051148693569254
10.936488,1.5371896129778,-4.047873954849412
10.969003,1.413998375726048,-4.038811306169215
11.020267,1.217248502462191,-4.017345415630855
11.085333,0.9613185164843338,-3.977270356065529
11.196698,0.5088192761605481,-3.875052581614851
11.356264,-0.1742769400834961,-3.655916384133257
11.369788,-0.2379377126607404,-3.630780745510463
11.382255,-0.291512913369688,-3.610486695603584
11.395826,-0.3533319943759033,-3.586524552656751
11.411251,-0.4222799891452822,-3.559398583364557
11.429295,-0.5045512944447343,-3.52643022419278
11.450195,-0.5997864123746696,-3.487275394613271
11.474989,-0.713679283799904,-3.43821626313028
11.504987,-0.8537805019507461,-3.377801943028098
11.547748,-1.05561305741575,-3.2874727084216
11.608839,-1.349321647380837,-3.15073414448023
11.683343,-1.716791938589597,-2.973583019571503
11.768598,-2.147857668609265,-2.758625213206277
11.801868,-2.319239216538863,-2.6716357467904
11.832081,-2.475355376084744,-2.591945116135839
11.880565,-2.728151450004948,-2.46186255706204
11.949492,-3.090045239452736,-2.273892149685645
12.033815,-3.531923079981398,-2.04196192776157
12.061538,-3.675865481078655,-1.965474204431328
12.086907,-3.807661270133512,-1.895346941240988
12.125712,-4.007097318778929,-1.788751714634486
12.185287,-4.307199424326165,-1.626333230578211
12.258941,-4.666766384029203,-1.427855402129011
12.344943,-5.063455464122652,-1.201542211653044
12.378115,-5.207259387128057,-1.116396708531777
12.408106,-5.335218236411478,-1.039658967156685
12.452561,-5.517522280048523,-0.927749395017215
12.521833,-5.784307277924413,-0.757516132887317
12.614463,-6.10666267137682,-0.5378545994842042
12.668222,-6.273544692327638,-0.4157975611714387
12.716934,-6.41552638519409,-0.3077045350478932
12.771862,-6.564104293716901,-0.189837525821226
12.868552,-6.798626866921185,0.007201642980314699
13.010988,-7.089084883633931,0.268064586751087
13.036820,-7.130656925643747,0.3081186327047971
13.060576,-7.173780172586055,0.347840873045943
13.094855,-7.231159136147868,0.4011135352577376
13.145381,-7.31218202579744,0.474805951553585
13.209376,-7.408995666281853,0.5607673497847265
13.316129,-7.557504896581534,0.6838786621388168
13.469830,-7.75007835913171,0.8168040268495489
13.658780,-7.961140358813786,0.9112213864055546
13.848473,-8.15355892679351,0.9363718392216988
14.023362,-8.320960588161137,0.9070326717579342
14.196446,-8.482739534775659,0.8374498572071468
14.400116,-8.671577000802356,0.7134372361460417
14.650116,-8.900768031314243,0.51063403715466
14.900116,-9.122862388527846,0.2649345590603213
15.150116,-9.335030434649159,-0.005254408092564833
15.336328,-9.483269735728712,-0.2109333906498506
15.504406,-9.601649869848366,-0.3944348338049163
15.678798,-9.693812552070121,-0.5822153576238761
15.898040,-9.737020604267538,-0.8134416082452072
16.148040,-9.655931533928529,-1.066175449314332
16.180592,-9.626272022917531,-1.101060558008095
16.210475,-9.606390638840843,-1.128759237650411
16.254018,-9.571880466152265,-1.170934654212572
16.313878,-9.518651844668955,-1.227804322486334
16.404488,-9.426245929325358,-1.311456160513623
