time,u_x,u_y,u_z
3.725883,-7.765194396915337,0.02963790999086661,2.989473205744739
3.825883,-8.306672836981306,0.1502834914335902,3.096293788403176
3.925883,-8.855925684442532,0.2849723235236701,3.191560851466258
4.025883,-9.411064085966913,0.4334070108619507,3.274589953324289
4.125883,-9.970260552697171,0.5954387857134924,3.344819284637568
4.225883,-10.53162787173878,0.7708723206667253,3.401652173975747
4.325883,-11.09318187550338,0.9593467701233287,3.444607218888643
4.425883,-11.6532043353127,1.160464106453812,3.473403288803723
4.525883,-12.20981144862272,1.373624848881942,3.487799799032012
4.625883,-12.76120551105162,1.598323127754432,3.487563680017567
4.725883,-13.30563983984287,1.834064728162743,3.472496062889966
4.825883,-13.84134622561081,2.080122223476263,3.442502055797587
4.925883,-14.36687487280417,2.335911246773572,3.397591050324278
5.025883,-14.8807442268276,2.60084371643811,3.337755028834625
5.125883,-15.38167856503981,2.874278590024847,3.26306493806856
5.225883,-15.86869299199364,3.155670966273628,3.173658587097734
5.325883,-16.34026680406157,3.444189251238919,3.069369277311343
5.425883,-16.79467566654611,3.738715384093199,2.950100618913632
5.525883,-17.23086104966522,4.037878437700052,2.816216977039047
5.625883,-17.64812875831444,4.339913906170404,2.668511164917603
5.725883,-18.04572594133719,4.643090181982469,2.507533436755976
5.825883,-18.42243661383601,4.945409083523561,2.333550174177153
5.925883,-18.7771992125793,5.244612927100104,2.146962754793889
6.025883,-19.10976428126708,5.538653650808029,1.948506769623815
6.125883,-19.42054416215899,5.825550937346019,1.73921177156196
6.225883,-19.70991578784841,6.103245714338826,1.520062385646868
6.325883,-19.97793176678552,6.369558778306464,1.291825332249553
6.425883,-20.22499460916411,6.622221522164272,1.055552311526478
6.525883,-20.45220167691126,6.85950447957853,0.8125537373786518
6.625883,-20.66117281878226,7.080217974386143,0.5642387173815693
6.725883,-20.85324248554678,7.283157825228371,0.312090218524656
6.825883,-21.02928847771326,7.467117693314251,0.05743784962134296
6.925883,-21.19021439964685,7.631106713221808,-0.1982801252227918
7.025883,-21.33749099264589,7.774853257727263,-0.4535655628759219
7.125883,-21.47261033795678,7.898629595012661,-0.7071267001698911
7.225883,-21.59677152278176,8.002548335585621,-0.9576578543502403
7.325883,-21.71064573638932,8.086295214859685,-1.203728768029495
7.425883,-21.8149248431151,8.149663035569375,-1.443970063850055
7.525883,-21.91069574383257,8.192994646301205,-1.677104565262755
7.625883,-21.99903376836934,8.217026966265731,-1.902276009580772
7.725883,-22.08069018851778,8.222193484675181,-2.118722591765154
7.825883,-22.15615581388161,8.208455235837205,-2.325529092385715
7.925883,-22.22581572578526,8.17575562466576,-2.521932962916491
8.025883,-22.29026849349932,8.124475063058108,-2.707400677210102
8.125883,-22.35020888432867,8.055194458210059,-2.881498136480471
8.225883,-22.40618590103256,7.96805488858155,-3.043600711479436
8.325883,-22.45898481456094,7.86279236724104,-3.192659220623626
8.425883,-22.50954471135179,7.73918793362943,-3.327641431138405
8.525883,-22.55904954309317,7.597543306555215,-3.447959348912589
8.625883,-22.60885066061972,7.438478289594238,-3.553204747803754
8.725883,-22.66032678836345,7.262317720675457,-3.642844799276437
8.825883,-22.71506600677218,7.069049423749106,-3.715993347442265
8.925883,-22.77488605516412,6.858820363090085,-3.771857017442278
9.025883,-22.84148298824418,6.632121739528773,-3.810179032561825
9.125883,-22.91664783404443,6.389849229250841,-3.831060427457598
9.225883,-23.00232753657401,6.132883626538757,-3.834430061660957
9.325883,-23.10064997272134,5.862036994516794,-3.819995653035546
9.425883,-23.21375989358849,5.578526963046288,-3.787585684818792
9.525883,-23.34333209822133,5.283978935113595,-3.737541790366561
9.625883,-23.49068433032736,4.980308810539483,-3.670513695435803
9.725883,-23.65711899673369,4.669551490481286,-3.58695332052172
9.825883,-23.84393108380982,4.353617307207434,-3.486996411377426
9.925883,-24.05208721203097,4.03456872518752,-3.370877375670836
10.025883,-24.28189345304698,3.714673528826341,-3.239265763599881
10.125883,-24.53310910424755,3.396136451897399,-3.093070599357745
10.225883,-24.80554770987352,3.081301527941256,-2.933119288847922
10.325883,-25.09914071849567,2.772484154837458,-2.760025352077685
10.425883,-25.41358903921483,2.47181628937822,-2.574574479790321
10.525883,-25.74799433655753,2.181117471272406,-2.37794544766585
10.625883,-26.10117040552371,1.901711176067839,-2.1714508439545
10.725883,-26.47219712534631,1.634755427548863,-1.956206417804178
10.825883,-26.86057474671317,1.381448387142506,-1.733115369132932
10.925883,-27.26584563141857,1.142652934143794,-1.503004034998781
11.025883,-27.6872437030121,0.9188354404279662,-1.266906148745642
11.125883,-28.12397354542341,0.7101980323619455,-1.025886592538801
11.225883,-28.57570379942095,0.5170951280793215,-0.7808974874421012
11.325883,-29.04248124430994,0.3403155501510517,-0.5329173805437213
11.425883,-29.52427890878157,0.1805114507424072,-0.2829626547089707
11.525883,-30.02068933804583,0.03781975809591659,-0.03212654835733125
11.625883,-30.53110284824463,-0.0878889084111274,0.218478982636182
11.725883,-31.05526760070121,-0.1964948453952637,0.4677967834283973
11.825883,-31.59316236632227,-0.2874427100870868,0.7146304093541057
11.925883,-32.14464932578972,-0.3602274378884147,0.9576689891585062
12.025883,-32.70930716843048,-0.4149006299725272,1.1957141898515
12.125883,-33.28643185702794,-0.4516654892175751,1.427520257135221
